sr.no,VehicleNo
319,UP85AT4024
320,UP85AT4025
321,MH3EP8698
322,UP85AG0650
323,UP85AG0651
324,UP85AG0687
325,UP85AG0712
326,UP85AG0722
327,UP85AG0723
328,UP85AG0724
329,UP85AG0725
330,UP85AG0726
331,UP85AG0727
332,UP85AG0729
333,UP85AG0738
334,UP85AG0743
335,UP85AG0744
336,UP85AG0746
337,UP85AG0747
338,UP85AG0816
339,UP85AG0817
340,UP85AG0818
341,UP85AG0819
342,UP85AG0820
343,UP85AG0821
344,UP85AG0822
345,UP85AG0823
346,UP85AG0824
347,UP85AG0825
348,UP85AG0830
349,UP85AG0832
350,UP85AG0834
351,UP85AG0835
352,UP85AG0841
353,UP85AG0842
354,UP85AG0848
355,UP85AG0849
356,UP85AG0850
357,UP85AG0851
358,UP85AG0875
359,UP85AG0876
360,UP85AG0877
361,UP85AG0879
362,UP85AG1005
363,UP85CA3767
364,UP85CB4756
365,UP85CJ6810
366,UP85CN1278
367,UP85CT4671
368,UP85CT3893
369,UP85CX2569
370,UP85DC5773
371,UP85H8780
372,UP86AS1975
373,UP86P9705
374,UPNEW1354
375,WATER FOGAR
376,UP85CR0616
377,UP85AM5464
378,UP85AG0631
379,HR44P8222
